targetkey,neo,neo sent,gas,gas sent,multisig,email
0304a7c9298b923e2178f5c1bbe7d5afb8faca56766f25288f90a7659e63c78d19,100,yes,500,yes,Ae2BrFeAyp535t79H5WQq6c5mhZq1aMfuu,karthik
02a88fd1ce1f06977a5081c5f41ef8a46ad5227788fda0de93eb1340b6eb8eb1d1,1000,yes,1000,yes,Abp8WNP8e97WXPeebMp7x6hQu5xf2e6Vpz,Nikolay
02c717c116067b4e88fa1300b0f2922df2bc28cf3303e5572b3c6532383dfaa7fc,1000,yes,1000,yes,AQuStUc6wNtuAAWceunapPeEMiQAUt9NA4,arrix
03221ed42361d4490328840637a6a9b7f4ea94fc3cabfe1b8959c59a7d6acc70ab,500,yes,1000,yes,AZwhTSxYBkzscyVkCimtMYzGu3W61bVMXh,Sabarish
